計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングエアコン,IHヒーター,主寝室エアコン,冷蔵庫・洗濯機,LDK・TV電灯コンセン,浴室乾燥機,未使用,電子レンジ,子供部屋エアコン,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180201,-,-,-,21738,0,6137,866,3721,1621,4148,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21738,-,-,-,-,-,-,-,-
20180202,-,-,-,32509,0,12199,804,4477,1797,3224,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32509,-,-,-,-,-,-,-,-
20180203,-,-,-,24579,0,6337,89,4128,1609,5331,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24579,-,-,-,-,-,-,-,-
20180204,-,-,-,38058,0,15170,995,5409,1737,5869,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38058,-,-,-,-,-,-,-,-
20180205,-,-,-,31983,0,9635,978,6502,1570,4001,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31983,-,-,-,-,-,-,-,-
20180206,-,-,-,29929,0,9909,0,4916,1536,3569,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29929,-,-,-,-,-,-,-,-
20180207,-,-,-,30128,0,9808,164,5068,1569,3329,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30128,-,-,-,-,-,-,-,-
20180208,-,-,-,32302,0,12757,1309,5073,1609,5014,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32302,-,-,-,-,-,-,-,-
20180209,-,-,-,25067,0,8673,362,4802,1716,3390,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25067,-,-,-,-,-,-,-,-
20180210,-,-,-,23997,0,8481,130,3627,1601,4339,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23997,-,-,-,-,-,-,-,-
20180211,-,-,-,33663,0,13728,259,5293,1877,5142,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33663,-,-,-,-,-,-,-,-
20180212,-,-,-,29540,0,11639,0,6208,1425,4120,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29540,-,-,-,-,-,-,-,-
20180213,-,-,-,34019,0,12495,205,5807,1637,4440,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34019,-,-,-,-,-,-,-,-
